size;dotTime;matrixTime
100;4.0e-7;0.0003807
100;0.0;9.72e-5
100;1.0e-7;8.69e-5
100;0.0;8.9e-5
100;1.0e-7;8.89e-5
100;1.0e-7;8.41e-5
100;1.0e-7;5.75e-5
100;1.0e-7;8.03e-5
100;1.0e-7;5.34e-5
100;0.0;2.61e-5
500;3.0e-7;0.0001572
500;1.0e-7;0.0001391
500;1.0e-7;0.0001353
500;1.0e-7;0.0001177
500;1.0e-7;0.0001248
500;1.0e-7;0.0001307
500;1.0e-7;0.0002503
500;2.0e-7;0.0001553
500;1.0e-7;0.0002066
500;2.0e-7;0.0001523
1000;1.0e-7;0.0006446
1000;1.0e-7;0.0006031
1000;2.0e-7;0.0006173
1000;1.0e-7;0.0005919
1000;3.0e-7;0.0005929
1000;1.0e-7;0.0006081
1000;1.0e-7;0.0006555
1000;1.0e-7;0.0007129
1000;4.0e-7;0.0005864
1000;1.0e-7;0.0005705
1500;2.0e-7;0.0014939
1500;1.0e-7;0.0013172
1500;2.0e-7;0.0013899
1500;1.0e-7;0.0011543
1500;1.0e-7;0.001079
1500;1.0e-7;0.0012213
1500;2.0e-7;0.0013813
1500;1.0e-7;0.0011372
1500;1.0e-7;0.0012209
1500;2.0e-7;0.0013637
2500;4.0e-7;0.0038294
2500;3.0e-7;0.0040135
2500;4.0e-7;0.0037871
2500;3.0e-7;0.003918
2500;4.0e-7;0.0032992
2500;3.0e-7;0.0034173
2500;3.0e-7;0.0036497
2500;3.0e-7;0.0038139
2500;3.0e-7;0.0034543
2500;4.0e-7;0.0033359
4000;6.0e-7;0.0091783
4000;6.0e-7;0.0095559
4000;6.0e-7;0.0085091
4000;6.0e-7;0.0080647
4000;7.0e-7;0.0082186
4000;7.0e-7;0.0083694
4000;6.0e-7;0.0084226
4000;7.0e-7;0.0175782
4000;6.0e-7;0.0098752
4000;6.0e-7;0.0083046
5000;8.0e-7;0.0145138
5000;8.0e-7;0.0134929
5000;8.0e-7;0.013711
5000;8.0e-7;0.0143776
5000;8.0e-7;0.0133534
5000;7.0e-7;0.0125633
5000;7.0e-7;0.0123273
5000;9.0e-7;0.0122538
5000;8.0e-7;0.0143397
5000;8.0e-7;0.0130547
