Type,Size,Time
dotOperation,500000,0.0007147
dotOperation,500000,0.0007683
dotOperation,500000,0.0007306
dotOperation,500000,0.0007162
dotOperation,500000,0.0006583
dotOperation,500000,0.0006435
dotOperation,500000,0.0006558
dotOperation,500000,0.0008288
dotOperation,500000,0.0006754
dotOperation,500000,0.0007759
dotOperation,1000000,0.0014343
dotOperation,1000000,0.001453
dotOperation,1000000,0.0014509
dotOperation,1000000,0.0016316
dotOperation,1000000,0.001414
dotOperation,1000000,0.0014673
dotOperation,1000000,0.0012377
dotOperation,1000000,0.001268
dotOperation,1000000,0.0012421
dotOperation,1000000,0.0012455
dotOperation,1500000,0.0018205
dotOperation,1500000,0.0018375
dotOperation,1500000,0.0019747
dotOperation,1500000,0.0019882
dotOperation,1500000,0.0018034
dotOperation,1500000,0.0018014
dotOperation,1500000,0.0019781
dotOperation,1500000,0.0020221
dotOperation,1500000,0.0020496
dotOperation,1500000,0.0019102
dotOperation,2000000,0.0025151
dotOperation,2000000,0.0025156
dotOperation,2000000,0.0025377
dotOperation,2000000,0.0024587
dotOperation,2000000,0.0025753
dotOperation,2000000,0.0024941
dotOperation,2000000,0.0025791
dotOperation,2000000,0.0023487
dotOperation,2000000,0.0025463
dotOperation,2000000,0.0025512
dotOperation,2500000,0.0031677
dotOperation,2500000,0.0029675
dotOperation,2500000,0.0033021
dotOperation,2500000,0.0029674
dotOperation,2500000,0.0032617
dotOperation,2500000,0.0032454
dotOperation,2500000,0.0029637
dotOperation,2500000,0.0031359
dotOperation,2500000,0.0031979
dotOperation,2500000,0.0034058
dotOperation,3000000,0.0038097
dotOperation,3000000,0.0036057
dotOperation,3000000,0.0037569
dotOperation,3000000,0.0036296
dotOperation,3000000,0.0036517
dotOperation,3000000,0.0038862
dotOperation,3000000,0.0038293
dotOperation,3000000,0.0037325
dotOperation,3000000,0.0036726
dotOperation,3000000,0.0036461
dotOperation,3500000,0.0044864
dotOperation,3500000,0.0043225
dotOperation,3500000,0.0041824
dotOperation,3500000,0.0052811
dotOperation,3500000,0.0067321
dotOperation,3500000,0.004523
dotOperation,3500000,0.004414
dotOperation,3500000,0.0043673
dotOperation,3500000,0.0045334
dotOperation,3500000,0.0105893
dotOperation,4000000,0.0095976
dotOperation,4000000,0.011879
dotOperation,4000000,0.0115827
dotOperation,4000000,0.0073364
dotOperation,4000000,0.0050747
dotOperation,4000000,0.0051922
dotOperation,4000000,0.005069
dotOperation,4000000,0.0048075
dotOperation,4000000,0.0047982
dotOperation,4000000,0.0054355
dotOperation,4500000,0.0055271
dotOperation,4500000,0.0053525
dotOperation,4500000,0.0057177
dotOperation,4500000,0.005766
dotOperation,4500000,0.0056938
dotOperation,4500000,0.0058381
dotOperation,4500000,0.0053977
dotOperation,4500000,0.0052349
dotOperation,4500000,0.0055378
dotOperation,4500000,0.0052231
dotOperation,5000000,0.0057766
dotOperation,5000000,0.0058948
dotOperation,5000000,0.0058788
dotOperation,5000000,0.0058759
dotOperation,5000000,0.005758
dotOperation,5000000,0.0056693
dotOperation,5000000,0.0057877
dotOperation,5000000,0.0057005
dotOperation,5000000,0.0057483
dotOperation,5000000,0.0057196
dotOperation,5500000,0.0063183
dotOperation,5500000,0.006301
dotOperation,5500000,0.0071537
dotOperation,5500000,0.0080424
dotOperation,5500000,0.0073438
dotOperation,5500000,0.007737
dotOperation,5500000,0.0074975
dotOperation,5500000,0.0078801
dotOperation,5500000,0.0073278
dotOperation,5500000,0.008178
dotOperation,6000000,0.0084785
dotOperation,6000000,0.0076549
dotOperation,6000000,0.007897
dotOperation,6000000,0.0069953
dotOperation,6000000,0.0074012
dotOperation,6000000,0.0142415
dotOperation,6000000,0.0161697
dotOperation,6000000,0.0158333
dotOperation,6000000,0.0085525
dotOperation,6000000,0.0074235
dotOperation,6500000,0.0080514
dotOperation,6500000,0.0079577
dotOperation,6500000,0.0077453
dotOperation,6500000,0.0082373
dotOperation,6500000,0.0080972
dotOperation,6500000,0.0074831
dotOperation,6500000,0.008272
dotOperation,6500000,0.0081731
dotOperation,6500000,0.0082021
dotOperation,6500000,0.013114
dotOperation,7000000,0.0163711
dotOperation,7000000,0.0081538
dotOperation,7000000,0.0081779
dotOperation,7000000,0.0089944
dotOperation,7000000,0.0091183
dotOperation,7000000,0.008741
dotOperation,7000000,0.0090326
dotOperation,7000000,0.0089824
dotOperation,7000000,0.0084437
dotOperation,7000000,0.0083381
dotOperation,7500000,0.0088465
dotOperation,7500000,0.0090258
dotOperation,7500000,0.009886
dotOperation,7500000,0.0093088
dotOperation,7500000,0.0088155
dotOperation,7500000,0.0104827
dotOperation,7500000,0.0091446
dotOperation,7500000,0.008804
dotOperation,7500000,0.0100959
dotOperation,7500000,0.0092386
dotOperation,8000000,0.0100751
dotOperation,8000000,0.009405
dotOperation,8000000,0.0091732
dotOperation,8000000,0.0183836
dotOperation,8000000,0.0195294
dotOperation,8000000,0.0105996
dotOperation,8000000,0.0094806
dotOperation,8000000,0.0095419
dotOperation,8000000,0.0093868
dotOperation,8000000,0.0093095
dotOperation,8500000,0.0103325
dotOperation,8500000,0.0099731
dotOperation,8500000,0.0102074
dotOperation,8500000,0.0107977
dotOperation,8500000,0.0100865
dotOperation,8500000,0.0101234
dotOperation,8500000,0.0098296
dotOperation,8500000,0.0104291
dotOperation,8500000,0.0095439
dotOperation,8500000,0.0095586
dotOperation,9000000,0.0102299
dotOperation,9000000,0.0101848
dotOperation,9000000,0.0252868
dotOperation,9000000,0.022051
dotOperation,9000000,0.0118494
dotOperation,9000000,0.0117152
dotOperation,9000000,0.0119846
dotOperation,9000000,0.0115152
dotOperation,9000000,0.0112082
dotOperation,9000000,0.0109328
dotOperation,9500000,0.011503
dotOperation,9500000,0.0112779
dotOperation,9500000,0.0111185
dotOperation,9500000,0.0110256
dotOperation,9500000,0.0111652
dotOperation,9500000,0.0120071
dotOperation,9500000,0.0112823
dotOperation,9500000,0.0111062
dotOperation,9500000,0.0109522
dotOperation,9500000,0.0118408
dotOperation,10000000,0.0195003
dotOperation,10000000,0.0267448
dotOperation,10000000,0.0121617
dotOperation,10000000,0.0120474
dotOperation,10000000,0.0119057
dotOperation,10000000,0.0122415
dotOperation,10000000,0.0124816
dotOperation,10000000,0.012577
dotOperation,10000000,0.0119138
dotOperation,10000000,0.012444
dotOperation,10500000,0.0136282
dotOperation,10500000,0.0131243
dotOperation,10500000,0.0122856
dotOperation,10500000,0.0121196
dotOperation,10500000,0.0117226
dotOperation,10500000,0.0126624
dotOperation,10500000,0.0140705
dotOperation,10500000,0.0253693
dotOperation,10500000,0.0121115
dotOperation,10500000,0.0125614
dotOperation,11000000,0.0130156
dotOperation,11000000,0.0142033
dotOperation,11000000,0.014026
dotOperation,11000000,0.0139904
dotOperation,11000000,0.0126446
dotOperation,11000000,0.0129819
dotOperation,11000000,0.0145063
dotOperation,11000000,0.0128473
dotOperation,11000000,0.0126093
dotOperation,11000000,0.0125218
dotOperation,11500000,0.0137699
dotOperation,11500000,0.0150993
dotOperation,11500000,0.013401
dotOperation,11500000,0.014377
dotOperation,11500000,0.0130975
dotOperation,11500000,0.0130832
dotOperation,11500000,0.0147607
dotOperation,11500000,0.02462
dotOperation,11500000,0.0250604
dotOperation,11500000,0.0131106
dotOperation,12000000,0.015594
dotOperation,12000000,0.0148344
dotOperation,12000000,0.0156145
dotOperation,12000000,0.0151809
dotOperation,12000000,0.0275551
dotOperation,12000000,0.0145524
dotOperation,12000000,0.0141325
dotOperation,12000000,0.0149769
dotOperation,12000000,0.0145852
dotOperation,12000000,0.0136319
dotOperation,12500000,0.0153971
dotOperation,12500000,0.0142912
dotOperation,12500000,0.0143266
dotOperation,12500000,0.0156669
dotOperation,12500000,0.014182
dotOperation,12500000,0.0156716
dotOperation,12500000,0.0148674
dotOperation,12500000,0.0144237
dotOperation,12500000,0.0149141
dotOperation,12500000,0.0141707
dotOperation,13000000,0.0309519
dotOperation,13000000,0.0180014
dotOperation,13000000,0.0145384
dotOperation,13000000,0.0145184
dotOperation,13000000,0.0156381
dotOperation,13000000,0.0151275
dotOperation,13000000,0.0161437
dotOperation,13000000,0.0145198
dotOperation,13000000,0.015355
dotOperation,13000000,0.0162323
dotOperation,13500000,0.0166359
dotOperation,13500000,0.0159076
dotOperation,13500000,0.0253191
dotOperation,13500000,0.0175432
dotOperation,13500000,0.0156337
dotOperation,13500000,0.0162154
dotOperation,13500000,0.0152863
dotOperation,13500000,0.0162182
dotOperation,13500000,0.0151915
dotOperation,13500000,0.0156191
dotOperation,14000000,0.016122
dotOperation,14000000,0.0167591
dotOperation,14000000,0.0175516
dotOperation,14000000,0.0166038
dotOperation,14000000,0.0297911
dotOperation,14000000,0.0250755
dotOperation,14000000,0.0181702
dotOperation,14000000,0.0177007
dotOperation,14000000,0.0166235
dotOperation,14000000,0.01672
dotOperation,14500000,0.0168277
dotOperation,14500000,0.0166901
dotOperation,14500000,0.0173123
dotOperation,14500000,0.0161386
dotOperation,14500000,0.0180575
dotOperation,14500000,0.0250459
dotOperation,14500000,0.028441
dotOperation,14500000,0.0178443
dotOperation,14500000,0.0184959
dotOperation,14500000,0.0172788
dotOperation,15000000,0.0181894
dotOperation,15000000,0.0168428
dotOperation,15000000,0.0183828
dotOperation,15000000,0.0168741
dotOperation,15000000,0.017367
dotOperation,15000000,0.0182218
dotOperation,15000000,0.016856
dotOperation,15000000,0.0345482
dotOperation,15000000,0.0334296
dotOperation,15000000,0.0180083
matrixOperation,500,0.0003179
matrixOperation,500,0.0003029
matrixOperation,500,0.0002485
matrixOperation,500,0.0001882
matrixOperation,500,0.000161
matrixOperation,500,0.0001863
matrixOperation,500,0.0001499
matrixOperation,500,0.0001614
matrixOperation,500,0.0001651
matrixOperation,500,0.0001854
matrixOperation,1000,0.0007384
matrixOperation,1000,0.0007661
matrixOperation,1000,0.0007511
matrixOperation,1000,0.0007012
matrixOperation,1000,0.0007793
matrixOperation,1000,0.0007281
matrixOperation,1000,0.0007236
matrixOperation,1000,0.0006936
matrixOperation,1000,0.0007132
matrixOperation,1000,0.0007238
