Size,Type,Time
1, Naive,0
1, Better,0
1, BLAS,0
1, Naive,0
1, Better,0
1, BLAS,0
1, Naive,0
1, Better,0
1, BLAS,0
1, Naive,0
1, Better,0
1, BLAS,0
1, Naive,0
1, Better,0
1, BLAS,0
1, Naive,0
1, Better,0
1, BLAS,0
1, Naive,0
1, Better,0
1, BLAS,0
1, Naive,0
1, Better,0
1, BLAS,0
1, Naive,0
1, Better,0
1, BLAS,0
11, Naive,0
11, Better,0
11, BLAS,0
11, Naive,0
11, Better,0
11, BLAS,0
11, Naive,0
11, Better,0
11, BLAS,0
11, Naive,0
11, Better,0
11, BLAS,0
11, Naive,0
11, Better,0
11, BLAS,0
11, Naive,0
11, Better,0
11, BLAS,0
11, Naive,0
11, Better,0
11, BLAS,0
11, Naive,0
11, Better,0
11, BLAS,0
11, Naive,0
11, Better,0
11, BLAS,0
21, Naive,0
21, Better,0
21, BLAS,0
21, Naive,0
21, Better,0
21, BLAS,0
21, Naive,0
21, Better,0
21, BLAS,0
21, Naive,0
21, Better,0
21, BLAS,0
21, Naive,0
21, Better,0
21, BLAS,0
21, Naive,0
21, Better,0
21, BLAS,0
21, Naive,0
21, Better,0
21, BLAS,0
21, Naive,0
21, Better,0
21, BLAS,0
21, Naive,0
21, Better,0
21, BLAS,0
31, Naive,0
31, Better,0
31, BLAS,0
31, Naive,0
31, Better,0
31, BLAS,0
31, Naive,0
31, Better,0
31, BLAS,0
31, Naive,0
31, Better,0
31, BLAS,0
31, Naive,0
31, Better,0
31, BLAS,0
31, Naive,0
31, Better,0
31, BLAS,0
31, Naive,0
31, Better,0
31, BLAS,0
31, Naive,0
31, Better,0
31, BLAS,0
31, Naive,0
31, Better,0
31, BLAS,0
41, Naive,0
41, Better,0
41, BLAS,0
41, Naive,0
41, Better,0.01
41, BLAS,0
41, Naive,0
41, Better,0
41, BLAS,0
41, Naive,0
41, Better,0
41, BLAS,0
41, Naive,0
41, Better,0
41, BLAS,0
41, Naive,0
41, Better,0
41, BLAS,0
41, Naive,0
41, Better,0
41, BLAS,0
41, Naive,0
41, Better,0
41, BLAS,0
41, Naive,0
41, Better,0
41, BLAS,0
51, Naive,0
51, Better,0
51, BLAS,0
51, Naive,0
51, Better,0
51, BLAS,0
51, Naive,0
51, Better,0
51, BLAS,0
51, Naive,0
51, Better,0
51, BLAS,0
51, Naive,0
51, Better,0
51, BLAS,0
51, Naive,0
51, Better,0
51, BLAS,0
51, Naive,0
51, Better,0
51, BLAS,0
51, Naive,0.01
51, Better,0
51, BLAS,0
51, Naive,0
51, Better,0
51, BLAS,0
61, Naive,0
61, Better,0
61, BLAS,0
61, Naive,0
61, Better,0
61, BLAS,0
61, Naive,0.01
61, Better,0
61, BLAS,0
61, Naive,0
61, Better,0
61, BLAS,0
61, Naive,0
61, Better,0
61, BLAS,0
61, Naive,0
